title,plot,ratings,date,total_reviews
The One Where Ross Got High,Ross is forced to reveal the reason why Jack and Judy don't like Chandler. Rachel tries to make dessert for the gang. Joey and Ross try to get out of Thanksgiving when they are invited to hang out with Janine and her dancer friends.,9.2,25 Nov. 1999,"-5,631"
The One with the Routine,"On the set of ""Dick Clark's New Year's Rockin' Eve"", Joey tries to kiss Janine at midnight and Monica and Ross resurrect their dance routine from high school. Meanwhile, Rachel, Phoebe and Chandler look for Monica's Christmas presents.",8.6,16 Dec. 1999,"-4,282"
The One with the Apothecary Table,"Joey is caught in the middle when Janine tells him she doesn't like Monica and Chandler. Meanwhile, Rachel buys an apothecary table from a store that Phoebe hates.",8.1,6 Jan. 2000,"-3,903"
The One with the Joke,"Chandler and Ross argue over a joke. Meanwhile, Joey reluctantly takes a waiter job at Central Perk, and Monica becomes annoyed when Phoebe says she would choose Rachel over her as a girlfriend.",8,13 Jan. 2000,"-3,834"
The One with Rachel's Sister,"Rachel's younger sister arrives in New York and goes on a date with Ross. Meanwhile, Monica won't admit that she is sick.",8.2,3 Feb. 2000,"-3,998"
The One Where Chandler Can't Cry,"Rachel tries to end the spark between Ross and Jill. When Chandler admits that he can't cry, Monica tries to make it happen. The gang discovers that Phoebe's sister, Ursula, is a porn star and is using Phoebe's name.",8.5,10 Feb. 2000,"-4,060"
The One That Could Have Been,Barry and Mindy's impending divorce prompts the gang to fantasize about what their lives might be like if they'd all taken different courses.,8.5,17 Feb. 2000,"-4,186"
The One That Could Have Been,The gang continue to think about how different their lives could have been.,8.5,17 Feb. 2000,"-4,096"
The One with Unagi,Rachel and Phoebe take self-defense classes. Chandler and Monica agree to give each other homemade presents for Valentine's Day. Joey tries to get money through medical research.,9.1,24 Feb. 2000,"-5,560"
The One Where Ross Dates a Student,Ross jeopardizes his career when he starts dating a student from one of his palaeontology classes. Rachel and Phoebe's apartment catches fire.,8.3,9 Mar. 2000,"-3,889"
The One with Joey's Fridge,Joey tries to get everyone to pay for his broken fridge. Ross becomes paranoid when Elizabeth makes plans for spring break. Monica and Chandler compete against Phoebe to find Rachel a date.,8.3,23 Mar. 2000,"-3,946"
The One with Mac and C.H.E.E.S.E.,Chandler forgets to write down a message for Joey when the time of his audition for the lead in a TV show is changed.,7.3,13 Apr. 2000,"-4,193"
The One Where Ross Meets Elizabeth's Dad,"Elizabeth's father takes an instant disliking to Ross. Joey almost gets fired from ""Mac and C.H.E.E.S.E."" after offending the operator of the robot. Phoebe writes a book based on Monica and Chandler.",8.6,27 Apr. 2000,"-4,144"
The One Where Paul's the Man,Paul threatens to have Ross fired from the university if he continues to date Elizabeth. The girls put their names down on a waiting list for a wedding venue.,9,04-May-00,"-4,781"
The One with the Ring,Chandler and Phoebe go looking for an engagement ring for Monica. Rachel tries to get Paul to open up to her.,8.6,11-May-00,"-4,010"
The One with the Proposal,Chandler's plan to propose to Monica at dinner is interrupted by Richard. Joey accidentally buys a boat at a silent auction. Ross and Elizabeth's relationship comes to a crossroad.,8.7,18-May-00,"-4,144"
The One with the Proposal,"Chandler continues to pretend to hate the idea of marriage, unaware Richard wants Monica back. Meanwhile, Rachel and Phoebe discuss their 'back-up' plans.",9.3,18-May-00,"-5,675"
The One with Monica's Thunder,"The gang celebrate Monica and Chandler's engagement, however Ross and Rachel upstage them by briefly reuniting. Joey tries to dress and act like a nineteen-year-old for an audition.",8.4,12 Oct. 2000,"-4,120"
The One with Rachel's Book,"Monica learns her parents have spent her entire wedding fund. Phoebe temporarily moves into Ross's apartment, bringing her massage clients with her. Joey mocks Rachel when he finds an erotic novel she is reading.",8.3,12 Oct. 2000,"-3,829"
The One with Phoebe's Cookies,"Monica tries to figure out Phoebe's grandmother's secret cookie recipe. Meanwhile, Rachel tries to teach Joey how to sail, and Chandler has an awkward encounter when he tries to bond with Jack.",8.1,19 Oct. 2000,"-3,803"
The One with Rachel's Assistant,"Chaos ensues when Monica and Chandler decide to share each other's secrets. Rachel gets a promotion and interviews for an assistant. Joey is offered the chance to go back on ""Days of Our Lives"".",8,26 Oct. 2000,"-3,828"
The One with the Engagement Picture,"Chandler struggles to photograph well for his and Monica's engagement picture. Joey teaches Tag how to pick up women, much to Rachel's annoyance. Phoebe and Ross date a couple who are divorcing.",8,2 Nov. 2000,"-3,785"
The One with the Nap Partners,"Joey and Ross accidentally take a nap together - and much to their dismay, find that they like it. Phoebe and Rachel compete to become Monica's maid of honor.",8.8,9 Nov. 2000,"-4,539"
The One with Ross's Library Book,"Ross and Chandler discovers that Ross's book is in the section of the library where students go to have sex. Monica and Chandler run into Janice and she immediately invites herself to the wedding. They try to avoid her. Meanwhile, Rachel and Phoebe befriend Joey's girlfriend.",8.4,16 Nov. 2000,"-3,881"
The One Where Chandler Doesn't Like Dogs,"Ross struggles to name all 50 states in a game. Joey compromises Rachel's chances with her crush, Tag, during Thanksgiving dinner. Phoebe sneaks a dog into the apartment, making Chandler extremely nervous.",8.1,23 Nov. 2000,"-3,779"
The One with All the Candy,"Monica makes candy to get to know her neighbours, Rachel and Tag try to hide their relationship at work and Ross buys Phoebe a bike.",8.1,7 Dec. 2000,"-3,742"
The One with the Holiday Armadillo,"Ross wants to introduce Ben to Hanukkah. In order to entice Rachel to move back into their refurbished apartment, Phoebe must drive a wedge between Rachel and current roomie Joey.",8.5,14 Dec. 2000,"-4,126"
The One with All the Cheesecakes,Chandler refuses to give back a cheesecake accidentally delivered to his apartment; Phoebe gets angry with Joey when he blows off dinner with her for a date.,8.6,4 Jan. 2001,"-4,001"
The One Where They're Up All Night,"After the gang head up to the roof to see a passing comet, separate events unfold that lead to them all having a sleepless night.",8.6,11 Jan. 2001,"-4,066"
The One Where Rosita Dies,Rachel breaks Joey's armchair. Phoebe takes a temp job in a call centre. Ross and Monica find out their parents are selling their childhood home.,8.4,1 Feb. 2001,"-3,839"
The One Where They All Turn Thirty,Rachel's 30th birthday prompts the rest of the gang to reminisce about their own 30th celebrations.,8.6,8 Feb. 2001,"-4,065"
The One with Joey's New Brain,"Joey gets an opportunity to rejoin ""Days of Our Lives"" when his comatose character is implanted with the brain of a female character. Joey approaches her to get some advice on how to play her character, but she's unaware that she's being written out of the show and freaks out at Joey. Later, she tries to give him some pointers, and they end up spending the night together. Ross tells Chandler and Monica that he has a surprise for their wedding, which turns out to be him playing the bagpipes - terribly, as it turns out. Rachel and Phoebe have their eye on a guy at the ...",8.4,15 Feb. 2001,"-3,944"
The One with the Truth About London,"Chandler is shocked to find out who Monica really wanted to sleep with the night they first got together. Meanwhile, Rachel gets into trouble with Ross when she teaches Ben practical jokes.",8.7,22 Feb. 2001,"-4,088"
The One with the Cheap Wedding Dress,"Monica takes the other girls to an overpriced store to choose her wedding dress, briefing them as if they were in the military since bargain-hunters are far more ruthless then Rachel can usually handle. The worst shopper is Megan: she grabs the dress Monica wants, then blackmails her over booking the swing band that's the only thing Chandler really wants for the wedding. Meanwhile, Ross and Joey independently meet and date Kristen while helping her move in. The rivals agree to let her choose after one date with each, but they get so carried away cheating on the deal ...",8.3,15 Mar. 2001,"-3,776"
The One with Joey's Award,Joey is nominated for a Soapy Award for his part on Days of Our Lives and Rachel is his date to the ceremony. Joey doesn't win the award but takes someone else's award home. Rachel convinces him to take it back because he can't be happy with an award he didn't win. One of Ross' students failed the midterms because he is in love with Ross and can't concentrate in class so Ross changes his grade. But now more students come to Ross pretending to be in love with him in order to get a better grade. When Rachel and Joey take the Soapy back the real winner just throws it ...,8.4,29 Mar. 2001,"-3,823"
The One with Ross and Monica's Cousin,Joey auditions for a naked role in a big movie; Rachel and Phoebe plan Monica's wedding shower; Ross becomes attracted to his cousin after she visits.,8.6,19 Apr. 2001,"-4,264"
The One with Rachel's Big Kiss,Rachel's college friend can't remember a scandalous kiss from the past; Chandler and Ross argue for possession of Val Kilmer's tuxedo.,8.3,26 Apr. 2001,"-3,925"
The One with the Vows,"Monica and Chandler are getting married in four weeks and have to write their vows, but neither has a clue what to say, so they reflect on their past.",7.4,03-May-01,"-3,850"
The One with Chandler's Dad,Ross and Rachel hit the freeway together when Monica's Porsche shows up again; Chandler and Monica go off to Vegas to find Chandler's estranged dad.,8.3,10-May-01,"-3,869"
The One with Monica and Chandler's Wedding: Part 1,"So close to the wedding, Chandler suddenly realizes the overwhelming meaning of getting married. Meanwhile, Joey acts opposite a famous actor in a movie, but can't bring himself to tell him that he spits when he says his lines.",8.9,17-May-01,"-4,337"
The One with Monica and Chandler's Wedding: Part 2,Ross tries to find Chandler with Phoebe's help. Meanwhile Rachel tries to hinder Monica.,9.2,17-May-01,"-4,901"
The One After I Do,The gang learns that Rachel is pregnant; Joey tries to impress a Broadway director who's dating Chandler's mom; Chandler's shoes make it hard for him to dance.,8.7,27 Sep. 2001,"-4,129"
The One with the Red Sweater,"Monica, Phoebe and Joey advise Rachel to tell the father about the pregnancy. Chandler and Ross lose the wedding photos.",9.1,4 Oct. 2001,"-4,798"
The One Where Rachel Tells...,"Even on their honeymoon, Monica is pushy, and is annoyed that Chandler won't jump the line at the airport check-in - especially after the couple in front of them, also on their honeymoon, get bumped up to first class. They try to sneak into the first-class lounge, but are caught - but she at least manages to steal an orange. Joey and Phoebe find that Monica and Chandler have tricked them out of the keys to the master apartment; Joey hopes a false gas leak alert will make super Treeger use his key, but he makes a fireman use an axe, and the wrecked door calls for a big...",8.7,11 Oct. 2001,"-3,918"
The One with the Videotape,"Ross and Rachel tell everyone about the night they were together. They have two different stories of how it happened until Ross accidentally reveals that he videotaped it. Not surprisingly, everyone wants to see it.",9.3,18 Oct. 2001,"-5,580"
The One with Rachel's Date,"Phoebe dates Monica's sous-chef Tim and Monica doesn't fire him for Phoebe's sake. When Phoebe decides to dump Tim, Monica can finally fire him. Rachel has a date with Kash, a co-star on Days of Our Lives. Ross thinks it's weird because whoever takes Rachel out, takes his baby out too. He always pictured that his next child would grow up in a happy family. Rachel's date was terrible because she made the mistake of mentioning she was pregnant. Ross reassures her it isn't so bad because when she has the baby she will love someone more than she ever loved anyone.",8,25 Oct. 2001,"-3,740"
The One with the Halloween Party,"Monica and Chandler decide to throw a Halloween party; Phoebe runs into Ursula and her fiancée, who knows nothing about the ""real"" Ursula.",8.5,1 Nov. 2001,"-4,078"
The One with the Stain,"Chandler hires a maid, whom Monica suspects is stealing her clothing; Eric has trouble forgetting Ursula when he breaks up with her to date Phoebe.",7.8,8 Nov. 2001,"-3,814"
The One with the Stripper,"Chandler finds out that Monica had a bachelorette party with a stripper, even though they promised not to have bachelor/bachelorette parties. Rachel takes Phoebe along to dinner with Rachel's dad, because she is afraid her dad will be really angry when she tells him she's pregnant. Mr. Green is delighted to hear he will be a grandfather, but freaks out when he finds out that Rachel isn't getting married - so she just tells him that Ross won't marry her. Monica feels bad about having had a bachelorette party, so she organizes a bachelor party including a stripper for ...",8.7,15 Nov. 2001,"-4,267"
The One with the Rumor,"Monica invites Will, an old school friend of her and Ross over for Thanksgiving dinner, unaware he isn't too fond of Rachel.",9.3,22 Nov. 2001,"-6,903"
The One with Monica's Boots,"Monica's expensive new boots hurt her feet, but she's determined to prove to Chandler that her purchase was worth it; Ben goes to school with Sting's son.",8,6 Dec. 2001,"-3,793"
The One with Ross's Step Forward,"Joey wants to take Rachel to dinner on a pretend date to practice his dating skills, but soon develops romantic feelings for her; Monica, Phoebe, and Chandler are addicted to Mrs. Pacman.",8,13 Dec. 2001,"-3,640"
The One Where Joey Dates Rachel,"Joey wants to take Rachel to dinner on a pretend date to practice his dating skills, but soon develops romantic feelings for her; gang addicted to Mrs. Pacman.",8.5,10 Jan. 2002,"-3,964"
The One Where Chandler Takes a Bath,Monica turns Chandler on to the concept of taking a bath to relax; Ross and Rachel toss baby names around while deciding whether to learn the baby's sex.,8.5,17 Jan. 2002,"-3,860"
The One with the Secret Closet,"Chandler's very curious about a locked closet, but Monica won't tell him what is inside.",8.2,31 Jan. 2002,"-3,660"
The One with the Birthing Video,"During Valentine's Day, Chandler discovers the miracle of birth seeing an extremely graphic video. Ross hides from Mona that Rachel is now living in his apartment",8.3,7 Feb. 2002,"-3,650"
The One Where Joey Tells Rachel,"Ross freaks out when Joey tells him that he is in love with Rachel because Ross is afraid that they will get married and raise his kid together. Phoebe dates a guy called Don, who she thinks is Monica's soul-mate and introduces Don to Monica to see what will happen. Monica and Don get along perfectly. Ross goes to tell Joey that he doesn't hate him and Joey promises to never act on his feelings for Rachel because he won't jeopardize his friendship to Ross. But when Ross realizes that Joey really is in love for the first time he tells Joey to tell Rachel. When Joey ...",8.2,28 Feb. 2002,"-3,713"
The One with the Tea Leaves,"Chandler and Monica are happy together - their worst problem is his habit to put CDs in the wrong box and their different taste in music. Rachel is desperate to get back on good terms with Joey, so she takes Monica's advice to change the subject to something work-related. However in another uncomfortable conversation she manages to convince Joey that her boss, Mr. Zelner, wants to buy her baby. When Phoebe resumes reading tea leaves, she sees that she'll meet the man of her dreams soon, and takes that to be Jim, who she keeps bumping into. However she soon finds he ...",8,7 Mar. 2002,"-3,657"
The One in Massapequa,Everyone prepares for the Gellers' 35th wedding anniversary in Long Island; Monica struggles to prepare the perfect toast; Phoebe invites her new boyfriend Parker.,8.2,28 Mar. 2002,"-3,710"
The One with Joey's Interview,"Joey prepares for his epic interview with Soap Opera Digest, reminiscing about his past acting experiences, his friends and his romantic life.",7.4,4 Apr. 2002,"-3,831"
The One with the Baby Shower,"Monica and Phoebe throw Rachel a baby shower but forget to invite Rachel's mom. Rachel realizes she has no idea how to look after the baby after the birth. Meanwhile, Joey auditions for a job as a host for a new game show called ""Bamboozled"", and Chandler and Ross help him practice.",8.2,25 Apr. 2002,"-3,703"
The One with the Cooking Class,"Monica's restaurant get a bad review. After confronting the critic who wrote it, she decides to join a cooking class, with Joey in tow. Rachel gets jealous when Ross hits it off with a woman at the baby department store.",8.1,02-May-02,"-3,688"
The One Where Rachel Is Late,Monica and Phoebe bet on when Rachel's baby will be born as the due date comes and goes as Rachel becomes extremely irritable; Chandler falls asleep at Joey's big movie premiere.,8.3,09-May-02,"-3,645"
The One Where Rachel Has a Baby: Part 1,"Ross and Rachel go to the hospital to have their baby, but it's a long labor. They get stuck in a semi-private room, and many other couples come and go before Rachel is ready to deliver - the last couple being Janice and her new husband. Chandler and Monica decide to start trying to have a baby.",8.8,16-May-02,"-3,981"
The One Where Rachel Has a Baby: Part 2,"After Rachel gives birth to her baby, she must confront relationship issues around her.",8.9,16-May-02,"-4,293"
The One Where No One Proposes,"Rachel, Ross and Joey get together in a guyand figure out that no one was actually going to propose; Mr. Geller walks in on Monica and Chandler having sex.",8.6,26 Sep. 2002,"-4,033"
