title,plot,ratings,date,total_reviews
The One with the Jellyfish,"Ross chooses between Rachel and his bald-headed girlfriend Bonnie; Joey, Chandler, and Monica have a perilous encounter with a jellyfish at the beach.",9.1,25 Sep. 1997,"-5,502"
The One with the Cat,Phoebe becomes convinced that the spirit of her dead mother is inside a cat. Chandler and Joey are robbed. Monica goes on a date with a guy from her high school.,8,2 Oct. 1997,"-4,291"
The One with the 'Cuffs,Monica tries to avoid criticism when she caters a party for her mother. Chandler ends up half naked and handcuffed to a chair in Rachel's boss's office. Joey tries to get educated from a salesman trying to sell him a set of encyclopedias.,8.5,9 Oct. 1997,"-4,361"
The One with the Ballroom Dancing,Joey is forced to help Treeger learn how to dance after he threatens to have Monica and Rachel evicted. Phoebe develops a crush on one of her clients. Ross tries to help Chandler quit the gym.,8.2,16 Oct. 1997,"-4,209"
The One with Joey's New Girlfriend,Chandler develops feelings for Joey's new girlfriend. Ross and Rachel try to make each other jealous with their dates. Phoebe's cold gives her a sexy singing voice.,8.4,30 Oct. 1997,"-4,263"
The One with the Dirty Girl,Ross's new girlfriend is nearly perfect until he discovers her apartment is very dirty. Chandler buys a better birthday present for Kathy than Joey. Phoebe helps Monica cater an event. Rachel is obsessed at finishing a crossword puzzle by herself.,8.5,6 Nov. 1997,"-4,368"
The One Where Chandler Crosses the Line,Chandler is guilt-ridden after kissing Kathy. Ross starts playing the keyboard again and everyone except Phoebe thinks he's terrible. Joey dates someone else while still attached to Kathy.,8.7,13 Nov. 1997,"-4,416"
The One with Chandler in a Box,Chandler tries to earn Joey's forgiveness by lying in a wooden box for six hours. Monica accidentally gets ice in her eye and her doctor turns out to be Richard's son and it's discovered Rachel exchanges the gifts she received in the past.,9.1,20 Nov. 1997,"-5,519"
The One Where They're Going to Party!,Monica ends up having to choose between a head chef position or the catering business she started with Phoebe. Rachel is close to getting a promotion but tragedy strikes. Chandler and Ross are excited when an old friend is coming to town.,7.9,11 Dec. 1997,"-4,112"
The One with the Girl from Poughkeepsie,"In order for her kitchen staff to acknowledge her authority, Monica hires Joey so she can fire him in front of them. Chandler unsuccessfully tries to set Rachel up with a co-worker. Ross can't choose between two girls.",8,18 Dec. 1997,"-4,089"
The One with Phoebe's Uterus,Newlyweds Frank and Alice ask Phoebe to be their surrogate. Joey gets a job as a tour guide at Ross's museum. Chandler asks Monica and Rachel for advice on how to sexually satisfy Kathy.,8.5,8 Jan. 1998,"-4,402"
The One with the Embryos,"Phoebe's uterus is examined for implantation of the embryos. Meanwhile, a seemingly harmless game between Chandler and Joey against Monica and Rachel escalates into a full blown contest where the stakes are raised higher and higher.",9.5,15 Jan. 1998,"-8,117"
The One with Rachel's Crush,"After seeing Kathy's play, Chandler becomes convinced she is cheating on him with her co-star. Rachel develops a crush on one of her customers. Monica becomes jealous when she realizes she is no longer the 'hostess'.",8.2,29 Jan. 1998,"-4,071"
